"type";"value";"display";"exclude"
"comp";"麻黃湯";;
"comp";"荊防敗毒散";;
"comp";"九味羌活湯";;
"comp";"桂枝湯";;
"comp";"小青龍湯";;
"comp";"射干麻黃湯";;
"comp";"香蘇散";;
"comp";"銀翹散";;
"comp";"桑菊飲";;
"comp";"柴葛解肌湯";;
"comp";"麻杏石甘湯";;
"comp";"升麻葛根湯";;
"comp";"麻黃附子細辛湯";;
"comp";"人參敗毒散";;
"comp";"參蘇飲";;
"comp";"再造散";;
"comp";"蔥白七味飲";;
"comp";"加減葳蕤湯";;
"comp";"大承氣湯";;
"comp";"調胃承氣湯";;
"comp";"大黃牡丹皮湯";;
"comp";"大陷胸湯";;
"comp";"甘遂通結湯";;
"comp";"三物備急丸";;
"comp";"大黃附子湯";;
"comp";"麻子仁丸";;
"comp";"濟川煎";;
"comp";"十棗湯";;
"comp";"舟車丸";;
"comp";"新加黃龍湯";;
"comp";"黃龍湯";;
"comp";"增液承氣湯";;
"comp";"溫脾湯";;
"comp";"四君子湯";;
"comp";"參苓白朮散";;
"comp";"補中益氣湯";;
"comp";"升陷湯";;
"comp";"升陽益胃湯";;
"comp";"益氣聰明湯";;
"comp";"人參蛤蚧散";;
"comp";"生脈散";;
"comp";"玉屏風散";;
"comp";"歸脾湯";;
"comp";"四物湯";;
"comp";"當歸補血湯";;
"comp";"腎氣丸";;
"comp";"右歸丸";;
"comp";"六味地黃丸";;
"comp";"左歸丸";;
"comp";"大補陰丸";;
"comp";"一貫煎";;
"comp";"補肺阿膠湯";;
"comp";"百合固金湯";;
"comp";"益胃湯";;
"comp";"八珍湯";;
"comp";"聖愈湯";;
"comp";"炙甘草湯";;
"comp";"地黃飲子";;
"comp";"龜鹿二仙膠";;
"comp";"七寶美髯丹";;
"comp";"白虎湯";;
"comp";"竹葉石膏湯";;
"comp";"清營湯";;
"comp";"犀角地黃湯";;
"comp";"清瘟敗毒飲";;
"comp";"黃連解毒湯";;
"comp";"普濟消毒飲";;
"comp";"龍膽瀉肝湯";;
"comp";"五味消毒飲";;
"comp";"仙方活命飲";;
"comp";"導赤散";;
"comp";"左金丸";;
"comp";"瀉青丸";;
"comp";"當歸龍薈丸";;
"comp";"瀉白散";;
"comp";"葦莖湯";;
"comp";"清胃散";;
"comp";"瀉黃散";;
"comp";"玉女煎";;
"comp";"白頭翁湯";;
"comp";"青蒿鱉甲湯";;
"comp";"秦艽鱉甲散";;
"comp";"清骨散";;
"comp";"理中丸";;
"comp";"吳茱萸湯";;
"comp";"大建中湯";;
"comp";"小建中湯";;
"comp";"四逆湯";;
"comp";"參附湯";;
"comp";"回陽救急湯";;
"comp";"黑錫丹";;
"comp";"當歸四逆湯";;
"comp";"黃耆桂枝五物湯";;
"comp";"陽和湯";;
"comp";"小柴胡湯";;
"comp";"達原飲";;
"comp";"白朮芍藥散";;
"comp";"逍遙散";;
"comp";"四逆散";;
"comp";"枳實芍藥散";;
"comp";"排膿湯";;
"comp";"蒿芩清膽湯";;
"comp";"半夏瀉心湯";;
"comp";"黃連湯";;
"comp";"牡蠣散";;
"comp";"當歸六黃湯";;
"comp";"金鎖固精丸";;
"comp";"水陸二仙丹";;
"comp";"桑螵蛸散";;
"comp";"縮泉丸";;
"comp";"桃花湯";;
"comp";"赤石脂禹餘糧湯";;
"comp";"訶子散";;
"comp";"四神丸";;
"comp";"真人養臟湯";;
"comp";"易黃湯";;
"comp";"完帶湯";;
"comp";"清帶湯";;
"comp";"固衝湯";;
"comp";"固經丸";;
"comp";"朱砂安神丸";;
"comp";"磁朱丸";;
"comp";"酸棗仁湯";;
"comp";"天王補心丹";;
"comp";"甘麥大棗湯";;
"comp";"安宮牛黃丸";;
"comp";"至寶丹";;
"comp";"紫雪丹";;
"comp";"小兒回春丹";;
"comp";"蘇合香丸";;
"comp";"柴胡疏肝散";;
"comp";"金鈴子散";;
"comp";"越鞠丸";;
"comp";"栝蔞薤白白酒湯";;
"comp";"天臺烏藥散";;
"comp";"暖肝煎";;
"comp";"橘核丸";;
"comp";"四磨湯";;
"comp";"良附丸";;
"comp";"厚朴溫中湯";;
"comp";"半夏厚朴湯";;
"comp";"蘇子降氣湯";;
"comp";"定喘湯";;
"comp";"丁香柿蒂湯";;
"comp";"橘皮竹茹湯";;
"comp";"旋覆代赭石湯";;
"comp";"血府逐瘀湯";;
"comp";"丹參飲";;
"comp";"鱉甲煎丸";;
"comp";"復元活血湯";;
"comp";"溫經湯";;
"comp";"生化湯";;
"comp";"桂枝茯苓丸";;
"comp";"桃仁承氣湯";;
"comp";"補陽還五湯";;
"comp";"十灰散";;
"comp";"槐花散";;
"comp";"小薊飲子";;
"comp";"咳血方";;
"comp";"黃土湯";;
"comp";"川芎茶調散";;
"comp";"大秦艽湯";;
"comp";"消風散";;
"comp";"小活絡丹";;
"comp";"牽正散";;
"comp";"玉真散";;
"comp";"鎮肝熄風湯";;
"comp";"天麻鉤藤飲";;
"comp";"羚羊鉤藤湯";;
"comp";"大定風珠";;
"comp";"阿膠雞子黃湯";;
"comp";"杏蘇散";;
"comp";"桑杏湯";;
"comp";"清燥救肺湯";;
"comp";"沙參麥冬湯";;
"comp";"養陰清肺湯";;
"comp";"麥門冬湯";;
"comp";"增液湯";;
"comp";"平胃散";;
"comp";"藿香正氣散";;
"comp";"防己黃耆湯";;
"comp";"五苓散";;
"comp";"豬苓湯";;
"comp";"五皮飲";;
"comp";"三仁湯";;
"comp";"茵陳蒿湯";;
"comp";"甘露消毒丹";;
"comp";"八正散";;
"comp";"宣痺湯";;
"comp";"四妙丸";;
"comp";"當歸拈痛湯";;
"comp";"苓桂朮甘湯";;
"comp";"真武湯";;
"comp";"實脾飲";;
"comp";"雞鳴散";;
"comp";"萆薢分清飲";;
"comp";"羌活勝濕湯";;
"comp";"獨活寄生湯";;
"comp";"二陳湯";;
"comp";"溫膽湯";;
"comp";"導痰湯";;
"comp";"滌痰湯";;
"comp";"指迷茯苓丸";;
"comp";"順氣消食化痰丸";;
"comp";"清金化痰丸";;
"comp";"清氣化痰丸";;
"comp";"小陷胸湯";;
"comp";"礞石滾痰丸";;
"comp";"消瘰丸";;
"comp";"海藻玉壺湯";;
"comp";"苓甘五味薑辛湯";;
"comp";"三子養親湯";;
"comp";"冷哮丸";;
"comp";"栝蔞貝母散";;
"comp";"半夏白朮天麻湯";;
"comp";"定癇丸";;
"comp";"止嗽丸";;
"comp";"清絡飲";;
"comp";"新加香薷飲";;
"comp";"香薷飲";;
"comp";"六一散";;
"comp";"桂苓甘露飲";;
"comp";"清暑益氣湯";;
"comp";"保和丸";;
"comp";"枳實導滯丸";;
"comp";"木香檳榔丸";;
"comp";"健脾丸";;
"comp";"肥兒丸";;
"comp";"枳朮丸";;
"comp";"枳實消痞丸";;
"comp";"大柴胡湯";;
"comp";"防風通聖散";;
"comp";"葛根芩連湯";;
"comp";"石膏湯";;
"comp";"五積散";;
"comp";"烏梅丸";;
"comp";"化蟲丸";;
"comp";"布袋丸";;
"comp";"瓜蒂散";;
"comp";"救急稀涎丸";;