"group";"type";"answer";"description";"hints";"params"
"herb";"select_one";"[小青龍湯,香蘇散,麻杏石甘湯,參蘇飲,再造散,加減葳蕤湯,四君子湯,參苓白朮散,補中益氣湯,升陽益胃湯,益氣聰明湯,人參蛤蚧散,歸脾湯,補肺阿膠湯,八珍湯,炙甘草湯,白虎湯,竹葉石膏湯,瀉白散,理中丸,小建中湯,四逆湯,回陽救急湯,當歸四逆湯,小柴胡湯,逍遙散,四逆散,半夏瀉心湯,黃連湯,真人養臟湯,完帶湯,朱砂安神丸,柴胡疏肝散,厚朴溫中湯,蘇子降氣湯,旋覆代赭石湯,生化湯,桃仁承氣湯,小薊飲子,大定風珠,阿膠雞子黃湯,藿香正氣散,當歸拈痛湯,苓桂朮甘湯,實脾飲,羌活勝濕湯,二陳湯,溫膽湯,導痰湯,滌痰湯,葛根芩連湯,五積散]";"含有{name}的方？";;"{"name":"炙甘草"}"
"herb";"select_one";"[麻黃湯,荊防敗毒散,九味羌活湯,桂枝湯,銀翹散,桑菊飲,柴葛解肌湯,升麻葛根湯,人參敗毒散,調胃承氣湯,黃龍湯,溫脾湯,普濟消毒飲,龍膽瀉肝湯,瀉黃散,清骨散,排膿湯,蒿芩清膽湯,甘麥大棗湯,紫雪丹,定喘湯,橘皮竹茹湯,血府逐瘀湯,復元活血湯,溫經湯,黃土湯,川芎茶調散,大秦艽湯,消風散,鎮肝熄風湯,杏蘇散,清燥救肺湯,沙參麥冬湯,麥門冬湯,平胃散,防己黃耆湯,獨活寄生湯,清金化痰丸,海藻玉壺湯,苓甘五味薑辛湯,冷哮丸,半夏白朮天麻湯,定癇丸,止嗽丸,六一散,桂苓甘露飲,清暑益氣湯,健脾丸,枳實消痞丸,防風通聖散,布袋丸]";"含有{name}的方？";;"{"name":"甘草"}"
"herb";"select_one";"[荊防敗毒散,人參敗毒散,參蘇飲,四君子湯,參苓白朮散,升陽益胃湯,人參蛤蚧散,腎氣丸,六味地黃丸,八珍湯,地黃飲子,七寶美髯丹,回陽救急湯,逍遙散,酸棗仁湯,天王補心丹,暖肝煎,厚朴溫中湯,半夏厚朴湯,桂枝茯苓丸,大秦艽湯,羚羊鉤藤湯,阿膠雞子黃湯,杏蘇散,藿香正氣散,五苓散,豬苓湯,苓桂朮甘湯,真武湯,實脾飲,獨活寄生湯,二陳湯,溫膽湯,導痰湯,滌痰湯,指迷茯苓丸,清金化痰丸,清氣化痰丸,苓甘五味薑辛湯,栝蔞貝母散,半夏白朮天麻湯,定癇丸,桂苓甘露飲,保和丸,枳實導滯丸,健脾丸,枳實消痞丸,五積散,布袋丸]";"含有{name}的方？";;"{"name":"茯苓"}"
"herb";"select_one";"[人參敗毒散,參蘇飲,再造散,新加黃龍湯,黃龍湯,溫脾湯,四君子湯,參苓白朮散,升陽益胃湯,益氣聰明湯,人參蛤蚧散,生脈散,歸脾湯,八珍湯,聖愈湯,炙甘草湯,龜鹿二仙膠,竹葉石膏湯,理中丸,吳茱萸湯,大建中湯,參附湯,回陽救急湯,小柴胡湯,半夏瀉心湯,黃連湯,桑螵蛸散,真人養臟湯,天王補心丹,四磨湯,丁香柿蒂湯,橘皮竹茹湯,旋覆代赭石湯,鱉甲煎丸,溫經湯,清燥救肺湯,麥門冬湯,當歸拈痛湯,獨活寄生湯,滌痰湯,健脾丸,枳實消痞丸,布袋丸]";"含有{name}的方？";;"{"name":"人參"}"
"herb";"select_one";"[濟川煎,新加黃龍湯,黃龍湯,溫脾湯,補中益氣湯,歸脾湯,四物湯,當歸補血湯,右歸丸,一貫煎,百合固金湯,八珍湯,聖愈湯,七寶美髯丹,龍膽瀉肝湯,仙方活命飲,瀉青丸,當歸龍薈丸,清胃散,秦艽鱉甲散,當歸四逆湯,逍遙散,當歸六黃湯,桑螵蛸散,真人養臟湯,朱砂安神丸,天王補心丹,暖肝煎,蘇子降氣湯,血府逐瘀湯,復元活血湯,溫經湯,生化湯,補陽還五湯,小薊飲子,大秦艽湯,消風散,當歸拈痛湯,獨活寄生湯,海藻玉壺湯,防風通聖散,五積散,烏梅丸]";"含有{name}的方？";;"{"name":"當歸"}"
"herb";"select_one";"[桂枝湯,小青龍湯,柴葛解肌湯,升麻葛根湯,再造散,麻子仁丸,升陽益胃湯,益氣聰明湯,四物湯,百合固金湯,八珍湯,聖愈湯,犀角地黃湯,清瘟敗毒飲,小建中湯,當歸四逆湯,黃耆桂枝五物湯,達原飲,白朮芍藥散,逍遙散,四逆散,枳實芍藥散,真人養臟湯,完帶湯,固衝湯,固經丸,柴胡疏肝散,鱉甲煎丸,溫經湯,桂枝茯苓丸,大秦艽湯,鎮肝熄風湯,羚羊鉤藤湯,大定風珠,阿膠雞子黃湯,養陰清肺湯,真武湯,獨活寄生湯,大柴胡湯,防風通聖散,五積散]";"含有{name}的方？";;"{"name":"白芍"}"
"herb";"select_one";"[小青龍湯,射干麻黃湯,參蘇飲,升陽益胃湯,竹葉石膏湯,回陽救急湯,小柴胡湯,蒿芩清膽湯,半夏瀉心湯,黃連湯,小兒回春丹,半夏厚朴湯,蘇子降氣湯,定喘湯,旋覆代赭石湯,鱉甲煎丸,溫經湯,杏蘇散,麥門冬湯,藿香正氣散,三仁湯,宣痺湯,二陳湯,溫膽湯,導痰湯,滌痰湯,指迷茯苓丸,順氣消食化痰丸,清氣化痰丸,小陷胸湯,海藻玉壺湯,冷哮丸,半夏白朮天麻湯,定癇丸,保和丸,枳實消痞丸,大柴胡湯,五積散]";"含有{name}的方？";;"{"name":"半夏"}"
"herb";"select_one";"[桂枝湯,射干麻黃湯,柴葛解肌湯,人參敗毒散,再造散,蔥白七味飲,黃龍湯,升陽益胃湯,歸脾湯,炙甘草湯,地黃飲子,吳茱萸湯,小建中湯,黃耆桂枝五物湯,小柴胡湯,排膿湯,暖肝煎,厚朴溫中湯,半夏厚朴湯,蘇子降氣湯,丁香柿蒂湯,橘皮竹茹湯,旋覆代赭石湯,溫經湯,杏蘇散,平胃散,真武湯,實脾飲,雞鳴散,二陳湯,溫膽湯,導痰湯,滌痰湯,指迷茯苓丸,順氣消食化痰丸,半夏白朮天麻湯,大柴胡湯]";"含有{name}的方？";;"{"name":"生薑"}"
"herb";"select_one";"[香蘇散,參蘇飲,舟車丸,補中益氣湯,升陽益胃湯,普濟消毒飲,仙方活命飲,回陽救急湯,白朮芍藥散,蒿芩清膽湯,完帶湯,小兒回春丹,柴胡疏肝散,厚朴溫中湯,蘇子降氣湯,杏蘇散,平胃散,藿香正氣散,五皮飲,雞鳴散,二陳湯,溫膽湯,導痰湯,滌痰湯,順氣消食化痰丸,清金化痰丸,清氣化痰丸,海藻玉壺湯,栝蔞貝母散,半夏白朮天麻湯,止嗽丸,保和丸,木香檳榔丸,健脾丸,五積散]";"含有{name}的方？";;"{"name":"陳皮"}"
"herb";"select_one";"[四君子湯,參苓白朮散,補中益氣湯,升陽益胃湯,玉屏風散,歸脾湯,八珍湯,理中丸,回陽救急湯,白朮芍藥散,逍遙散,真人養臟湯,完帶湯,固衝湯,蘇合香丸,黃土湯,大秦艽湯,藿香正氣散,防己黃耆湯,五苓散,當歸拈痛湯,苓桂朮甘湯,真武湯,實脾飲,半夏白朮天麻湯,桂苓甘露飲,枳實導滯丸,健脾丸,枳朮丸,枳實消痞丸,防風通聖散,布袋丸]";"含有{name}的方？";;"{"name":"白朮"}"
"herb";"select_one";"[桂枝湯,射干麻黃湯,柴葛解肌湯,再造散,加減葳蕤湯,十棗湯,黃龍湯,升陽益胃湯,歸脾湯,炙甘草湯,地黃飲子,吳茱萸湯,小建中湯,當歸四逆湯,黃耆桂枝五物湯,小柴胡湯,排膿湯,半夏瀉心湯,黃連湯,甘麥大棗湯,蘇子降氣湯,橘皮竹茹湯,旋覆代赭石湯,杏蘇散,麥門冬湯,平胃散,實脾飲,溫膽湯,滌痰湯,半夏白朮天麻湯,大柴胡湯]";"含有{name}的方？";;"{"name":"大棗"}"
"herb";"select_one";"[九味羌活湯,蔥白七味飲,新加黃龍湯,增液承氣湯,腎氣丸,一貫煎,百合固金湯,益胃湯,炙甘草湯,清營湯,犀角地黃湯,清瘟敗毒飲,龍膽瀉肝湯,導赤散,清胃散,青蒿鱉甲湯,當歸六黃湯,朱砂安神丸,天王補心丹,血府逐瘀湯,小薊飲子,黃土湯,大秦艽湯,消風散,羚羊鉤藤湯,大定風珠,阿膠雞子黃湯,養陰清肺湯,增液湯,獨活寄生湯]";"含有{name}的方？";;"{"name":"生地"}"
"herb";"select_one";"[九味羌活湯,柴葛解肌湯,清瘟敗毒飲,黃連解毒湯,普濟消毒飲,龍膽瀉肝湯,當歸龍薈丸,小柴胡湯,達原飲,蒿芩清膽湯,半夏瀉心湯,當歸六黃湯,固經丸,安宮牛黃丸,定喘湯,鱉甲煎丸,黃土湯,大秦艽湯,天麻鉤藤飲,甘露消毒丹,當歸拈痛湯,清金化痰丸,清氣化痰丸,礞石滾痰丸,枳實導滯丸,大柴胡湯,防風通聖散,葛根芩連湯,石膏湯]";"含有{name}的方？";;"{"name":"黃芩"}"
"herb";"select_one";"[大承氣湯,調胃承氣湯,大黃牡丹皮湯,大陷胸湯,甘遂通結湯,三物備急丸,大黃附子湯,麻子仁丸,舟車丸,新加黃龍湯,黃龍湯,增液承氣湯,溫脾湯,瀉青丸,當歸龍薈丸,小兒回春丹,鱉甲煎丸,桃仁承氣湯,十灰散,茵陳蒿湯,八正散,礞石滾痰丸,枳實導滯丸,木香檳榔丸,大柴胡湯,防風通聖散]";"含有{name}的方？";;"{"name":"大黃"}"
"herb";"select_one";"[升陽益胃湯,清營湯,清瘟敗毒飲,黃連解毒湯,普濟消毒飲,左金丸,當歸龍薈丸,清胃散,白頭翁湯,半夏瀉心湯,黃連湯,當歸六黃湯,朱砂安神丸,安宮牛黃丸,小陷胸湯,清暑益氣湯,枳實導滯丸,木香檳榔丸,健脾丸,肥兒丸,枳實消痞丸,葛根芩連湯,石膏湯,烏梅丸]";"含有{name}的方？";;"{"name":"黃連"}"
"herb";"select_one";"[荊防敗毒散,銀翹散,桑菊飲,柴葛解肌湯,人參敗毒散,參蘇飲,加減葳蕤湯,黃龍湯,參苓白朮散,升陷湯,百合固金湯,清瘟敗毒飲,普濟消毒飲,排膿湯,天王補心丹,血府逐瘀湯,杏蘇散,藿香正氣散,雞鳴散,清金化痰丸,栝蔞貝母散,止嗽丸,防風通聖散,五積散]";"含有{name}的方？";;"{"name":"桔梗"}"
"herb";"select_one";"[蔥白七味飲,新加黃龍湯,增液承氣湯,生脈散,一貫煎,百合固金湯,益胃湯,炙甘草湯,地黃飲子,竹葉石膏湯,清營湯,玉女煎,天王補心丹,溫經湯,大定風珠,清燥救肺湯,沙參麥冬湯,養陰清肺湯,麥門冬湯,增液湯,清金化痰丸,定癇丸,清暑益氣湯]";"含有{name}的方？";;"{"name":"麥冬"}"
"herb";"select_one";"[荊防敗毒散,九味羌活湯,人參敗毒散,再造散,四物湯,八珍湯,聖愈湯,瀉青丸,酸棗仁湯,柴胡疏肝散,越鞠丸,血府逐瘀湯,溫經湯,生化湯,補陽還五湯,川芎茶調散,大秦艽湯,羌活勝濕湯,獨活寄生湯,海藻玉壺湯,防風通聖散,五積散]";"含有{name}的方？";;"{"name":"川芎"}"
"herb";"select_one";"[小青龍湯,三物備急丸,溫脾湯,理中丸,大建中湯,四逆湯,回陽救急湯,半夏瀉心湯,黃連湯,桃花湯,訶子散,厚朴溫中湯,鱉甲煎丸,生化湯,實脾飲,苓甘五味薑辛湯,枳實消痞丸,五積散,烏梅丸]";"含有{name}的方？";;"{"name":"乾薑"}"
"herb";"select_one";"[清瘟敗毒飲,黃連解毒湯,龍膽瀉肝湯,瀉青丸,當歸龍薈丸,瀉黃散,安宮牛黃丸,越鞠丸,十灰散,小薊飲子,咳血方,天麻鉤藤飲,茵陳蒿湯,八正散,宣痺湯,清金化痰丸,防風通聖散,石膏湯]";"含有{name}的方？";;"{"name":"梔子"}"
"herb";"select_one";"[麻黃湯,桂枝湯,小青龍湯,再造散,腎氣丸,炙甘草湯,小建中湯,當歸四逆湯,黃耆桂枝五物湯,黃連湯,鱉甲煎丸,溫經湯,桂枝茯苓丸,桃仁承氣湯,五苓散,苓桂朮甘湯,桂苓甘露飲,烏梅丸]";"含有{name}的方？";;"{"name":"桂枝"}"
"herb";"select_one";"[荊防敗毒散,柴葛解肌湯,人參敗毒散,補中益氣湯,升陷湯,升陽益胃湯,普濟消毒飲,龍膽瀉肝湯,秦艽鱉甲散,小柴胡湯,逍遙散,四逆散,完帶湯,柴胡疏肝散,血府逐瘀湯,鱉甲煎丸,復元活血湯,大柴胡湯]";"含有{name}的方？";;"{"name":"柴胡"}"
"herb";"select_one";"[荊防敗毒散,九味羌活湯,再造散,升陽益胃湯,玉屏風散,仙方活命飲,瀉青丸,瀉黃散,白朮芍藥散,川芎茶調散,大秦艽湯,消風散,玉真散,當歸拈痛湯,羌活勝濕湯,獨活寄生湯,防風通聖散]";"含有{name}的方？";;"{"name":"防風"}"
"herb";"select_one";"[大承氣湯,麻子仁丸,黃龍湯,達原飲,橘核丸,厚朴溫中湯,半夏厚朴湯,蘇子降氣湯,鱉甲煎丸,平胃散,藿香正氣散,三仁湯,實脾飲,新加香薷飲,香薷飲,枳實消痞丸,五積散]";"含有{name}的方？";;"{"name":"厚朴"}"
"herb";"select_one";"[參蘇飲,舟車丸,歸脾湯,當歸龍薈丸,黑錫丹,真人養臟湯,紫雪丹,小兒回春丹,蘇合香丸,天臺烏藥散,橘核丸,厚朴溫中湯,實脾飲,木香檳榔丸,健脾丸,肥兒丸]";"含有{name}的方？";;"{"name":"木香"}"
"herb";"select_one";"[麻黃湯,桑菊飲,麻杏石甘湯,麻子仁丸,人參蛤蚧散,補肺阿膠湯,定喘湯,杏蘇散,桑杏湯,清燥救肺湯,三仁湯,宣痺湯,順氣消食化痰丸,清氣化痰丸,冷哮丸]";"含有{name}的方？";;"{"name":"杏仁"}"
"herb";"select_one";"[麻黃附子細辛湯,再造散,大黃附子湯,溫脾湯,腎氣丸,右歸丸,地黃飲子,四逆湯,參附湯,回陽救急湯,黑錫丹,黃土湯,真武湯,實脾飲,烏梅丸]";"含有{name}的方？";;"{"name":"附子"}"
"herb";"select_one";"[升陷湯,人參蛤蚧散,大補陰丸,白虎湯,清瘟敗毒飲,玉女煎,青蒿鱉甲湯,秦艽鱉甲散,清骨散,達原飲,酸棗仁湯,消風散,當歸拈痛湯,清金化痰丸,清暑益氣湯]";"含有{name}的方？";;"{"name":"知母"}"
"herb";"select_one";"[荊防敗毒散,人參敗毒散,參蘇飲,濟川煎,蒿芩清膽湯,小兒回春丹,柴胡疏肝散,橘核丸,血府逐瘀湯,槐花散,杏蘇散,指迷茯苓丸,清氣化痰丸,五積散]";"含有{name}的方？";;"{"name":"枳殼"}"
"herb";"select_one";"[再造散,補中益氣湯,升陷湯,升陽益胃湯,益氣聰明湯,玉屏風散,歸脾湯,當歸補血湯,聖愈湯,黃耆桂枝五物湯,牡蠣散,當歸六黃湯,補陽還五湯,防己黃耆湯]";"含有{name}的方？";;"{"name":"黃耆"}"
"herb";"select_one";"[柴葛解肌湯,麻杏石甘湯,白虎湯,竹葉石膏湯,清瘟敗毒飲,瀉黃散,玉女煎,紫雪丹,大秦艽湯,消風散,清燥救肺湯,桂苓甘露飲,防風通聖散,石膏湯]";"含有{name}的方？";;"{"name":"石膏"}"
"herb";"select_one";"[人參蛤蚧散,百合固金湯,仙方活命飲,小兒回春丹,羚羊鉤藤湯,桑杏湯,養陰清肺湯,甘露消毒丹,清金化痰丸,消瘰丸,海藻玉壺湯,栝蔞貝母散,定癇丸]";"含有{name}的方？";;"{"name":"貝母"}"
"herb";"select_one";"[九味羌活湯,小青龍湯,射干麻黃湯,麻黃附子細辛湯,再造散,大黃附子湯,當歸四逆湯,川芎茶調散,大秦艽湯,獨活寄生湯,苓甘五味薑辛湯,冷哮丸,烏梅丸]";"含有{name}的方？";;"{"name":"細辛"}"
"herb";"select_one";"[四物湯,右歸丸,六味地黃丸,左歸丸,大補陰丸,百合固金湯,八珍湯,聖愈湯,地黃飲子,玉女煎,陽和湯,當歸六黃湯,大秦艽湯]";"含有{name}的方？";;"{"name":"熟地"}"
"herb";"select_one";"[大承氣湯,調胃承氣湯,大黃牡丹皮湯,大陷胸湯,新加黃龍湯,黃龍湯,增液承氣湯,溫脾湯,紫雪丹,鱉甲煎丸,桃仁承氣湯,防風通聖散]";"含有{name}的方？";;"{"name":"芒硝"}"
"herb";"select_one";"[大承氣湯,麻子仁丸,黃龍湯,四逆散,枳實芍藥散,溫膽湯,導痰湯,滌痰湯,枳實導滯丸,枳朮丸,枳實消痞丸,大柴胡湯]";"含有{name}的方？";;"{"name":"枳實"}"
