"type";"value";"display";"exclude";"params"
"points";"中府";;;"{"typ":"肺經募穴"}"
"points";"雲門";;;"{"typ":""}"
"points";"天府";;;"{"typ":""}"
"points";"俠白";;;"{"typ":""}"
"points";"尺澤";;;"{"typ":"肺經合穴"}"
"points";"孔最";;;"{"typ":"肺經郄穴"}"
"points";"列缺";;;"{"typ":"肺經絡,任脈八脈八法,十總頭項,天星十二穴"}"
"points";"經渠";;;"{"typ":"肺經經穴"}"
"points";"太淵";;;"{"typ":"肺經俞,八會脈穴"}"
"points";"魚際";;;"{"typ":"肺經滎穴"}"
"points";"少商";;;"{"typ":"肺經井穴"}"
"points";"商陽";;;"{"typ":"大腸經井穴"}"
"points";"二間";;;"{"typ":"大腸經滎穴"}"
"points";"三間";;;"{"typ":"大腸經俞穴"}"
"points";"合谷";;;"{"typ":"大腸經原,十總面口,天星十二,回陽九穴"}"
"points";"陽谿";;;"{"typ":"大腸經經穴"}"
"points";"偏歷";;;"{"typ":"大腸經絡穴"}"
"points";"溫溜";;;"{"typ":"大腸經郄穴"}"
"points";"下廉";;;"{"typ":""}"
"points";"上廉";;;"{"typ":""}"
"points";"手三里";;;"{"typ":""}"
"points";"曲池";;;"{"typ":"大腸經合,天星十二穴"}"
"points";"肘髎";;;"{"typ":""}"
"points";"手五里";;;"{"typ":""}"
"points";"臂臑";;;"{"typ":""}"
"points";"肩髃";;;"{"typ":""}"
"points";"巨骨";;;"{"typ":""}"
"points";"天鼎";;;"{"typ":""}"
"points";"扶突";;;"{"typ":""}"
"points";"禾髎";;;"{"typ":""}"
"points";"迎香";;;"{"typ":""}"
"points";"承泣";;;"{"typ":""}"
"points";"四白";;;"{"typ":""}"
"points";"巨髎";;;"{"typ":""}"
"points";"地倉";;;"{"typ":""}"
"points";"大迎";;;"{"typ":""}"
"points";"頰車";;;"{"typ":""}"
"points";"下關";;;"{"typ":""}"
"points";"頭維";;;"{"typ":""}"
"points";"人迎";;;"{"typ":""}"
"points";"水突";;;"{"typ":""}"
"points";"氣舍";;;"{"typ":""}"
"points";"缺盆";;;"{"typ":""}"
"points";"氣戶";;;"{"typ":""}"
"points";"庫房";;;"{"typ":""}"
"points";"屋翳";;;"{"typ":""}"
"points";"膺窗";;;"{"typ":""}"
"points";"乳中";;;"{"typ":""}"
"points";"乳根";;;"{"typ":""}"
"points";"不容";;;"{"typ":""}"
"points";"承滿";;;"{"typ":""}"
"points";"梁門";;;"{"typ":""}"
"points";"關門";;;"{"typ":""}"
"points";"太乙";;;"{"typ":""}"
"points";"滑肉門";;;"{"typ":""}"
"points";"天樞";;;"{"typ":"大腸經募穴"}"
"points";"外陵";;;"{"typ":""}"
"points";"大巨";;;"{"typ":""}"
"points";"水道";;;"{"typ":""}"
"points";"歸來";;;"{"typ":""}"
"points";"氣衝";;;"{"typ":""}"
"points";"髀關";;;"{"typ":""}"
"points";"伏兔";;;"{"typ":""}"
"points";"陰市";;;"{"typ":""}"
"points";"梁丘";;;"{"typ":"胃經郄穴"}"
"points";"犢鼻";;;"{"typ":""}"
"points";"足三里";;;"{"typ":"胃經合,胃經腑合,十總肚腹,天星十二,回陽九穴"}"
"points";"上巨虛";;;"{"typ":"大腸經腑合穴"}"
"points";"條口";;;"{"typ":""}"
"points";"下巨虛";;;"{"typ":"小腸經腑合穴"}"
"points";"豐隆";;;"{"typ":"胃經絡穴"}"
"points";"解谿";;;"{"typ":"胃經經穴"}"
"points";"衝陽";;;"{"typ":"胃經原穴"}"
"points";"陷谷";;;"{"typ":"胃經俞穴"}"
"points";"內庭";;;"{"typ":"胃經滎,天星十二穴"}"
"points";"厲兌";;;"{"typ":"胃經井穴"}"
"points";"隱白";;;"{"typ":"脾經井穴"}"
"points";"大都";;;"{"typ":"脾經滎穴"}"
"points";"太白";;;"{"typ":"脾經俞穴"}"
"points";"公孫";;;"{"typ":"脾經絡,衝脈八脈八法,十總安胎穴"}"
"points";"商丘";;;"{"typ":"脾經經穴"}"
"points";"三陰交";;;"{"typ":"十總婦科,回陽九穴"}"
"points";"漏谷";;;"{"typ":""}"
"points";"地機";;;"{"typ":"脾經郄穴"}"
"points";"陰陵泉";;;"{"typ":"脾經合穴"}"
"points";"血海";;;"{"typ":""}"
"points";"箕門";;;"{"typ":""}"
"points";"衝門";;;"{"typ":""}"
"points";"府舍";;;"{"typ":""}"
"points";"腹結";;;"{"typ":""}"
"points";"大橫";;;"{"typ":""}"
"points";"腹哀";;;"{"typ":""}"
"points";"食竇";;;"{"typ":""}"
"points";"天谿";;;"{"typ":""}"
"points";"胸鄉";;;"{"typ":""}"
"points";"周榮";;;"{"typ":""}"
"points";"大包";;;"{"typ":"絡穴"}"
"points";"極泉";;;"{"typ":""}"
"points";"青靈";;;"{"typ":""}"
"points";"少海";;;"{"typ":"心經合穴"}"
"points";"靈道";;;"{"typ":"心經經穴"}"
"points";"通里";;;"{"typ":"心經絡,天星十二穴"}"
"points";"陰郄";;;"{"typ":"心經郄穴"}"
"points";"神門";;;"{"typ":"心經俞穴"}"
"points";"少府";;;"{"typ":"心經滎穴"}"
"points";"少衝";;;"{"typ":"心經井穴"}"
"points";"少澤";;;"{"typ":"小腸經井穴"}"
"points";"前谷";;;"{"typ":"小腸經滎穴"}"
"points";"後谿";;;"{"typ":"小腸經俞,督脈八脈八法穴"}"
"points";"腕骨";;;"{"typ":"小腸經原穴"}"
"points";"陽谷";;;"{"typ":"小腸經經穴"}"
"points";"養老";;;"{"typ":"小腸經郄穴"}"
"points";"支正";;;"{"typ":"小腸經絡穴"}"
"points";"小海";;;"{"typ":"小腸經合穴"}"
"points";"肩貞";;;"{"typ":""}"
"points";"臑俞";;;"{"typ":""}"
"points";"天宗";;;"{"typ":""}"
"points";"秉風";;;"{"typ":""}"
"points";"曲垣";;;"{"typ":""}"
"points";"肩外俞";;;"{"typ":""}"
"points";"肩中俞";;;"{"typ":""}"
"points";"天窗";;;"{"typ":""}"
"points";"天容";;;"{"typ":""}"
"points";"顴髎";;;"{"typ":""}"
"points";"聽宮";;;"{"typ":""}"
"points";"睛明";;;"{"typ":""}"
"points";"攢竹";;;"{"typ":""}"
"points";"眉衝";;;"{"typ":""}"
"points";"曲差";;;"{"typ":""}"
"points";"五處";;;"{"typ":""}"
"points";"承光";;;"{"typ":""}"
"points";"通天";;;"{"typ":""}"
"points";"絡卻";;;"{"typ":""}"
"points";"玉枕";;;"{"typ":""}"
"points";"天柱";;;"{"typ":""}"
"points";"大杼";;;"{"typ":"八會骨穴"}"
"points";"風門";;;"{"typ":""}"
"points";"肺俞";;;"{"typ":"肺經俞穴"}"
"points";"厥陰俞";;;"{"typ":"心包經俞穴"}"
"points";"心俞";;;"{"typ":"心經俞穴"}"
"points";"督俞";;;"{"typ":""}"
"points";"膈俞";;;"{"typ":"八會血穴"}"
"points";"肝俞";;;"{"typ":"肝經俞穴"}"
"points";"膽俞";;;"{"typ":"膽經俞穴"}"
"points";"脾俞";;;"{"typ":"脾經俞穴"}"
"points";"胃俞";;;"{"typ":"胃經俞穴"}"
"points";"三焦俞";;;"{"typ":"三焦經俞穴"}"
"points";"腎俞";;;"{"typ":"腎經俞穴"}"
"points";"氣海俞";;;"{"typ":""}"
"points";"大腸俞";;;"{"typ":"大腸經俞穴"}"
"points";"關元俞";;;"{"typ":""}"
"points";"小腸俞";;;"{"typ":"小腸經俞穴"}"
"points";"膀胱俞";;;"{"typ":"膀胱經俞穴"}"
"points";"中膂俞";;;"{"typ":""}"
"points";"白環俞";;;"{"typ":""}"
"points";"上髎";;;"{"typ":""}"
"points";"次髎";;;"{"typ":""}"
"points";"中髎";;;"{"typ":""}"
"points";"下髎";;;"{"typ":""}"
"points";"會陽";;;"{"typ":""}"
"points";"承扶";;;"{"typ":""}"
"points";"殷門";;;"{"typ":""}"
"points";"浮郄";;;"{"typ":""}"
"points";"委陽";;;"{"typ":"三焦經腑合穴"}"
"points";"委中";;;"{"typ":"膀胱經合,膀胱經腑合,十總腰背,天星十二穴"}"
"points";"附分";;;"{"typ":""}"
"points";"魄戶";;;"{"typ":""}"
"points";"膏肓";;;"{"typ":""}"
"points";"神堂";;;"{"typ":""}"
"points";"譩譆";;;"{"typ":""}"
"points";"膈關";;;"{"typ":""}"
"points";"魂門";;;"{"typ":""}"
"points";"陽綱";;;"{"typ":""}"
"points";"意舍";;;"{"typ":""}"
"points";"胃倉";;;"{"typ":""}"
"points";"肓門";;;"{"typ":""}"
"points";"志室";;;"{"typ":""}"
"points";"胞肓";;;"{"typ":""}"
"points";"秩邊";;;"{"typ":""}"
"points";"合陽";;;"{"typ":""}"
"points";"承筋";;;"{"typ":""}"
"points";"承山";;;"{"typ":"天星十二穴"}"
"points";"飛揚";;;"{"typ":"膀胱經絡穴"}"
"points";"跗陽";;;"{"typ":"陽蹻脈郄穴"}"
"points";"崑崙";;;"{"typ":"膀胱經經,天星十二穴"}"
"points";"僕參";;;"{"typ":""}"
"points";"申脈";;;"{"typ":"陰蹻脈八脈八法穴"}"
"points";"金門";;;"{"typ":"膀胱經郄穴"}"
"points";"京骨";;;"{"typ":"膀胱經原穴"}"
"points";"束骨";;;"{"typ":"膀胱經俞穴"}"
"points";"通谷";;;"{"typ":"膀胱經滎穴"}"
"points";"至陰";;;"{"typ":"膀胱經井穴"}"
"points";"湧泉";;;"{"typ":"腎經井,回陽九穴"}"
"points";"然谷";;;"{"typ":"腎經滎穴"}"
"points";"太谿";;;"{"typ":"腎經俞,回陽九穴"}"
"points";"大鐘";;;"{"typ":"腎經絡穴"}"
"points";"水泉";;;"{"typ":"腎經郄穴"}"
"points";"照海";;;"{"typ":"陰蹻脈八脈八法穴"}"
"points";"復溜";;;"{"typ":"腎經經穴"}"
"points";"交信";;;"{"typ":"陰蹻脈郄穴"}"
"points";"築賓";;;"{"typ":"陰維脈郄穴"}"
"points";"陰谷";;;"{"typ":"腎經合穴"}"
"points";"橫骨";;;"{"typ":""}"
"points";"大赫";;;"{"typ":""}"
"points";"氣穴";;;"{"typ":""}"
"points";"四滿";;;"{"typ":""}"
"points";"中注";;;"{"typ":""}"
"points";"肓俞";;;"{"typ":""}"
"points";"商曲";;;"{"typ":""}"
"points";"石關";;;"{"typ":""}"
"points";"陰都";;;"{"typ":""}"
"points";"通谷";;;"{"typ":""}"
"points";"幽門";;;"{"typ":""}"
"points";"步廊";;;"{"typ":""}"
"points";"神封";;;"{"typ":""}"
"points";"靈墟";;;"{"typ":""}"
"points";"神藏";;;"{"typ":""}"
"points";"彧中";;;"{"typ":""}"
"points";"俞府";;;"{"typ":""}"
"points";"天池";;;"{"typ":""}"
"points";"天泉";;;"{"typ":""}"
"points";"曲澤";;;"{"typ":"心包經合穴"}"
"points";"郄門";;;"{"typ":"心包經郄穴"}"
"points";"間使";;;"{"typ":"心包經經穴"}"
"points";"內關";;;"{"typ":"心包經絡,陰維脈八脈八法穴"}"
"points";"大陵";;;"{"typ":"心包經俞穴"}"
"points";"勞宮";;;"{"typ":"心包經滎,回陽九穴"}"
"points";"中衝";;;"{"typ":"心包經井穴"}"
"points";"關衝";;;"{"typ":"三焦經井穴"}"
"points";"液門";;;"{"typ":"三焦經滎穴"}"
"points";"中渚";;;"{"typ":"三焦經俞穴"}"
"points";"陽池";;;"{"typ":"三焦經原穴"}"
"points";"外關";;;"{"typ":"三焦經絡,陽維脈八脈八法穴"}"
"points";"支溝";;;"{"typ":"三焦經經,十總脇肋穴"}"
"points";"會宗";;;"{"typ":"三焦經郄穴"}"
"points";"三陽絡";;;"{"typ":""}"
"points";"四瀆";;;"{"typ":""}"
"points";"天井";;;"{"typ":"三焦經合穴"}"
"points";"清冷淵";;;"{"typ":""}"
"points";"消濼";;;"{"typ":""}"
"points";"臑會";;;"{"typ":""}"
"points";"肩髎";;;"{"typ":""}"
"points";"天髎";;;"{"typ":""}"
"points";"天牖";;;"{"typ":""}"
"points";"翳風";;;"{"typ":""}"
"points";"瘈脈";;;"{"typ":""}"
"points";"顱息";;;"{"typ":""}"
"points";"角孫";;;"{"typ":""}"
"points";"耳門";;;"{"typ":""}"
"points";"和髎";;;"{"typ":""}"
"points";"絲竹空";;;"{"typ":""}"
"points";"瞳子髎";;;"{"typ":""}"
"points";"聽會";;;"{"typ":""}"
"points";"上關";;;"{"typ":""}"
"points";"頷厭";;;"{"typ":""}"
"points";"懸顱";;;"{"typ":""}"
"points";"懸釐";;;"{"typ":""}"
"points";"曲鬢";;;"{"typ":""}"
"points";"率谷";;;"{"typ":""}"
"points";"天衝";;;"{"typ":""}"
"points";"浮白";;;"{"typ":""}"
"points";"頭竅陰";;;"{"typ":""}"
"points";"完骨";;;"{"typ":""}"
"points";"本神";;;"{"typ":""}"
"points";"陽白";;;"{"typ":""}"
"points";"頭臨泣";;;"{"typ":""}"
"points";"目窗";;;"{"typ":""}"
"points";"正營";;;"{"typ":""}"
"points";"承靈";;;"{"typ":""}"
"points";"腦空";;;"{"typ":""}"
"points";"風池";;;"{"typ":""}"
"points";"肩井";;;"{"typ":""}"
"points";"淵腋";;;"{"typ":""}"
"points";"輒筋";;;"{"typ":""}"
"points";"日月";;;"{"typ":"膽經募穴"}"
"points";"京門";;;"{"typ":"腎經募穴"}"
"points";"帶脈";;;"{"typ":""}"
"points";"五樞";;;"{"typ":""}"
"points";"維道";;;"{"typ":""}"
"points";"居髎";;;"{"typ":""}"
"points";"環跳";;;"{"typ":"天星十二,回陽九穴"}"
"points";"風市";;;"{"typ":""}"
"points";"中瀆";;;"{"typ":""}"
"points";"膝陽關";;;"{"typ":""}"
"points";"陽陵泉";;;"{"typ":"膽經合,八會筋,膽經腑合,十總外傷,天星十二穴"}"
"points";"陽交";;;"{"typ":"陽維脈郄穴"}"
"points";"外丘";;;"{"typ":"膽經郄穴"}"
"points";"光明";;;"{"typ":"膽經絡穴"}"
"points";"陽輔";;;"{"typ":"膽經經穴"}"
"points";"懸鐘";;;"{"typ":"八會髓穴"}"
"points";"丘墟";;;"{"typ":"膽經原穴"}"
"points";"足臨泣";;;"{"typ":"膽經俞,帶脈八脈八法穴"}"
"points";"地五會";;;"{"typ":""}"
"points";"俠谿";;;"{"typ":"膽經滎穴"}"
"points";"足竅陰";;;"{"typ":"膽經井穴"}"
"points";"大敦";;;"{"typ":"肝經井穴"}"
"points";"行間";;;"{"typ":"肝經滎穴"}"
"points";"太衝";;;"{"typ":"肝經俞,天星十二穴"}"
"points";"中封";;;"{"typ":"肝經經穴"}"
"points";"蠡溝";;;"{"typ":"肝經絡穴"}"
"points";"中都";;;"{"typ":"肝經郄穴"}"
"points";"膝關";;;"{"typ":""}"
"points";"曲泉";;;"{"typ":"肝經合穴"}"
"points";"陰包";;;"{"typ":""}"
"points";"足五里";;;"{"typ":""}"
"points";"陰廉";;;"{"typ":""}"
"points";"急脈";;;"{"typ":""}"
"points";"章門";;;"{"typ":"八會臟穴"}"
"points";"期門";;;"{"typ":"肝經募穴"}"
"points";"會陰";;;"{"typ":""}"
"points";"曲骨";;;"{"typ":""}"
"points";"中極";;;"{"typ":"膀胱經募穴"}"
"points";"關元";;;"{"typ":"小腸經募穴"}"
"points";"石門";;;"{"typ":"三焦經募穴"}"
"points";"氣海";;;"{"typ":""}"
"points";"陰交";;;"{"typ":""}"
"points";"神闕";;;"{"typ":""}"
"points";"水分";;;"{"typ":""}"
"points";"下脘";;;"{"typ":""}"
"points";"建里";;;"{"typ":""}"
"points";"中脘";;;"{"typ":"胃經募,八會腑,回陽九穴"}"
"points";"上脘";;;"{"typ":""}"
"points";"巨闕";;;"{"typ":"心經募穴"}"
"points";"鳩尾";;;"{"typ":"任脈絡穴"}"
"points";"中庭";;;"{"typ":""}"
"points";"膻中";;;"{"typ":"心包經募,八會氣穴"}"
"points";"玉堂";;;"{"typ":""}"
"points";"紫宮";;;"{"typ":""}"
"points";"華蓋";;;"{"typ":""}"
"points";"璇璣";;;"{"typ":""}"
"points";"天突";;;"{"typ":""}"
"points";"廉泉";;;"{"typ":""}"
"points";"承漿";;;"{"typ":""}"
"points";"長強";;;"{"typ":"督脈絡穴"}"
"points";"腰俞";;;"{"typ":""}"
"points";"腰陽關";;;"{"typ":""}"
"points";"命門";;;"{"typ":""}"
"points";"懸樞";;;"{"typ":""}"
"points";"脊中";;;"{"typ":""}"
"points";"中樞";;;"{"typ":""}"
"points";"筋縮";;;"{"typ":""}"
"points";"至陽";;;"{"typ":""}"
"points";"靈台";;;"{"typ":""}"
"points";"神道";;;"{"typ":""}"
"points";"身柱";;;"{"typ":""}"
"points";"陶道";;;"{"typ":""}"
"points";"大椎";;;"{"typ":""}"
"points";"瘂門";;;"{"typ":"回陽九穴"}"
"points";"風府";;;"{"typ":""}"
"points";"腦戶";;;"{"typ":""}"
"points";"強間";;;"{"typ":""}"
"points";"後頂";;;"{"typ":""}"
"points";"百會";;;"{"typ":""}"
"points";"前頂";;;"{"typ":""}"
"points";"顖會";;;"{"typ":""}"
"points";"上星";;;"{"typ":""}"
"points";"神庭";;;"{"typ":""}"
"points";"素髎";;;"{"typ":""}"
"points";"水溝";;;"{"typ":""}"
"points";"兌端";;;"{"typ":""}"
"points";"齦交";;;"{"typ":""}"
"points";"太陽";;;"{"typ":""}"
"points";"耳尖";;;"{"typ":""}"
"points";"四神聰";;;"{"typ":""}"
"points";"髮際";;;"{"typ":""}"
"points";"印堂";;;"{"typ":""}"
"points";"魚腰";;;"{"typ":""}"
"points";"機關";;;"{"typ":""}"
"points";"內迎香";;;"{"typ":""}"
"points";"金津玉液";;;"{"typ":""}"
"points";"海泉";;;"{"typ":""}"
"points";"脅堂";;;"{"typ":""}"
"points";"臍旁";;;"{"typ":""}"
"points";"胞門子戶";;;"{"typ":""}"
"points";"肓俞";;;"{"typ":""}"
"points";"喘息";;;"{"typ":""}"
"points";"百勞";;;"{"typ":""}"
"points";"四花";;;"{"typ":""}"
"points";"夾脊";;;"{"typ":""}"
"points";"騎竹馬";;;"{"typ":""}"
"points";"竹杖";;;"{"typ":""}"
"points";"腰眼";;;"{"typ":""}"
"points";"痞根";;;"{"typ":""}"
"points";"肘尖";;;"{"typ":""}"
"points";"中泉";;;"{"typ":""}"
"points";"大骨空";;;"{"typ":""}"
"points";"小骨空";;;"{"typ":""}"
"points";"十宣";;;"{"typ":""}"
"points";"鬼哭";;;"{"typ":""}"
"points";"五虎";;;"{"typ":""}"
"points";"八邪";;;"{"typ":""}"
"points";"拳尖";;;"{"typ":""}"
"points";"中魁";;;"{"typ":""}"
"points";"二白";;;"{"typ":""}"
"points";"四縫";;;"{"typ":""}"
"points";"髖骨";;;"{"typ":""}"
"points";"鶴頂";;;"{"typ":""}"
"points";"膝眼";;;"{"typ":""}"
"points";"女膝";;;"{"typ":""}"
"points";"八風";;;"{"typ":""}"
"points";"內外踝尖";;;"{"typ":""}"
"points";"獨陰";;;"{"typ":""}"
"points";"球後";;;"{"typ":""}"
"points";"翳明";;;"{"typ":""}"
"points";"安眠1";;;"{"typ":""}"
"points";"安眠2";;;"{"typ":""}"
"points";"興奮";;;"{"typ":""}"
"points";"定喘";;;"{"typ":""}"
"points";"中喘";;;"{"typ":""}"
"points";"腎脊";;;"{"typ":""}"
"points";"頸臂";;;"{"typ":""}"
"points";"阿是";;;"{"typ":"十總阿是穴"}"